# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1992-01T00:00:00Z,50.9,0,0
1992-02T00:00:00Z,57.5,0,0
1992-03T00:00:00Z,110.1,0,0
1992-04T00:00:00Z,80.3,0,0
1992-05T00:00:00Z,60.2,0,0
1992-06T00:00:00Z,106.5,0,0
1992-07T00:00:00Z,131.5,0,0
1992-08T00:00:00Z,152.9,0,0
1992-09T00:00:00Z,11.5,0,0
1992-10T00:00:00Z,24.6,0,0
1992-11T00:00:00Z,133.8,0,0
1992-12T00:00:00Z,69.4,0,0
1993-01T00:00:00Z,47.2,0,0
1993-02T00:00:00Z,62.2,0,0
1993-03T00:00:00Z,155.3,0,0
1993-04T00:00:00Z,97.4,0,0
1993-05T00:00:00Z,28.4,0,0
1993-06T00:00:00Z,85.9,0,0
1993-07T00:00:00Z,156.5,0,0
1993-08T00:00:00Z,107.5,0,0
1993-09T00:00:00Z,136.3,0,0
1993-10T00:00:00Z,104.6,0,0
1993-11T00:00:00Z,117,0,0
1993-12T00:00:00Z,158.7,0,0
1994-01T00:00:00Z,146.8,0,0
1994-02T00:00:00Z,51.7,0,0
1994-03T00:00:00Z,157.2,0,0
1994-04T00:00:00Z,100.4,0,0
1994-05T00:00:00Z,104.7,0,0
1994-06T00:00:00Z,80.7,0,0
1994-07T00:00:00Z,174.6,0,0
1994-08T00:00:00Z,156.8,0,0
1994-09T00:00:00Z,80.2,0,0
1994-10T00:00:00Z,37.3,0,0
1994-11T00:00:00Z,86.7,0,0
1994-12T00:00:00Z,78.9,0,0
1995-01T00:00:00Z,84.8,0,0
1995-02T00:00:00Z,49.2,0,0
1995-03T00:00:00Z,49.8,0,0
1995-04T00:00:00Z,39.4,0,0
1995-05T00:00:00Z,25.4,0,0
1995-06T00:00:00Z,0,0,0
1995-07T00:00:00Z,203.2,0,0
1995-08T00:00:00Z,48.1,0,0
1995-09T00:00:00Z,80.2,0,0
1995-10T00:00:00Z,0,0,0
1995-11T00:00:00Z,87,0,0
1995-12T00:00:00Z,177.8,0,0
1996-01T00:00:00Z,96.8,0,0
1996-02T00:00:00Z,63.4,0,0
1996-03T00:00:00Z,52.3,0,0
1996-04T00:00:00Z,107.9,0,0
1996-05T00:00:00Z,112.6,0,0
1996-06T00:00:00Z,123.4,0,0
1996-07T00:00:00Z,198.5,0,0
1996-08T00:00:00Z,27,0,0
1996-09T00:00:00Z,159.1,0,0
1996-10T00:00:00Z,26.8,0,0
1996-11T00:00:00Z,87,0,0
1996-12T00:00:00Z,177.8,0,0
1997-01T00:00:00Z,75.6,0,0
1997-02T00:00:00Z,53.7,0,0
1997-03T00:00:00Z,104.4,0,0
1997-04T00:00:00Z,106.2,0,0
1997-05T00:00:00Z,67.9,0,0
1997-06T00:00:00Z,33.5,0,0
1997-07T00:00:00Z,94.6,0,0
1997-08T00:00:00Z,97.1,0,0
1997-09T00:00:00Z,21.5,0,0
1997-10T00:00:00Z,34.9,0,0
1997-11T00:00:00Z,112.9,0,0
1997-12T00:00:00Z,52.8,0,0
1998-01T00:00:00Z,136,0,0
1998-02T00:00:00Z,58.4,0,0
1998-03T00:00:00Z,127.6,0,0
1998-04T00:00:00Z,58.9,0,0
1998-05T00:00:00Z,57.2,0,0
1998-06T00:00:00Z,189.1,0,0
1998-07T00:00:00Z,42.5,0,0
1998-08T00:00:00Z,37.4,0,0
1998-09T00:00:00Z,49,0,0
1998-10T00:00:00Z,95.3,0,0
1998-11T00:00:00Z,29.3,0,0
