Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1992, eco311, 1, 127.75, 7.87, 93, 279, 0, 
1993, eco311, 1, 98.92, 6.59, 108, 260, 0, 
1994, eco311, 1, 80.82, 8.3, 106, 279, 0, 
1995, eco311, 1, 123.26, 7.19, 114, 266, 0, 
1996, eco311, 1, 125.7, 7.03, 101, 261, 0, 
1997, eco311, 1, 80.82, 8.3, 106, 279, 0, 
1998, eco311, 1, 88.3, 9.77, 72, 291, 0, 
1999, eco311, 1, 125.7, 7.03, 101, 261, 0, 
2000, eco311, 1, 98.92, 6.59, 108, 260, 0, 
2001, eco311, 1, 98.92, 6.59, 108, 260, 0, 
2002, eco311, 1, 114.73, 8.24, 98, 291, 0, 
2003, eco311, 1, 111.12, 8.71, 93, 272, 0, 
2004, eco311, 1, 123.26, 7.19, 114, 266, 0, 
2005, eco311, 1, 116.27, 7.76, 95, 283, 0, 
2006, eco311, 1, 125.6, 6.86, 104, 247, 0, 
2007, eco311, 1, 113.87, 8.03, 102, 291, 0, 
2008, eco311, 1, 85.51, 6.84, 111, 265, 0, 
2009, eco311, 1, 114.73, 8.24, 98, 291, 0, 
2010, eco311, 1, 142.58, 8.34, 97, 291, 0, 
2011, eco311, 1, 161.93, 9.01, 94, 282, 0, 
