Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,FWI,
1992, 1, eco311, 1, 5.09, -10.74, 0.35, 0, 0, 0, 0, 0.09, 0, 
1992, 2, eco311, 1, 5.75, -9.52, 1.21, 0, 0, 0, 0, 0.09, 0, 
1992, 3, eco311, 1, 11.01, -7, 3.93, 0, 0, 0, 0, 0.09, 0, 
1992, 4, eco311, 1, 8.03, -0.6, 10.2, 0, 0, 0, 0, 0.09, 0, 
1992, 5, eco311, 1, 6.02, 4.89, 19.93, 0, 0, 0, 0, 0.09, 0, 
1992, 6, eco311, 1, 10.65, 10.3, 23.5, 0, 0, 0, 0, 0.09, 0, 
1992, 7, eco311, 1, 13.15, 12.16, 24.03, 0, 0, 0, 0, 0.09, 0, 
1992, 8, eco311, 1, 15.29, 12.1, 23.55, 0, 0, 0, 0, 0.09, 0, 
1992, 9, eco311, 1, 1.15, 11.3, 21.2, 0, 0, 0, 0, 0.09, 0, 
1992, 10, eco311, 1, 2.46, -0.8, 9.9, 0, 0, 0, 0, 0.09, 0, 
1992, 11, eco311, 1, 13.38, -2.8, 6.23, 0, 0, 0, 0, 0.09, 0, 
1992, 12, eco311, 1, 6.94, -7.6, 2, 0, 0, 0, 0, 0.09, 0, 
1993, 1, eco311, 1, 4.72, -10.68, 0.26, 0, 0, 0, 0, 0.09, 0, 
1993, 2, eco311, 1, 6.22, -15.07, -2.18, 0, 0, 0, 0, 0.09, 0, 
1993, 3, eco311, 1, 15.53, -7.35, 4, 0, 0, 0, 0, 0.09, 0, 
1993, 4, eco311, 1, 9.74, 1.07, 13.38, 0, 0, 0, 0, 0.09, 0, 
1993, 5, eco311, 1, 2.84, 6.03, 20.87, 0, 0, 0, 0, 0.09, 0, 
1993, 6, eco311, 1, 8.59, 9.83, 24.03, 0, 0, 0, 0, 0.09, 0, 
1993, 7, eco311, 1, 15.65, 13.1, 27.32, 0, 0, 0, 0, 0.09, 0, 
1993, 8, eco311, 1, 10.75, 13.77, 26.23, 0, 0, 0, 0, 0.09, 0, 
1993, 9, eco311, 1, 13.63, 8.3, 19.93, 0, 0, 0, 0, 0.09, 0, 
1993, 10, eco311, 1, 10.46, 0.26, 14.03, 0, 0, 0, 0, 0.09, 0, 
1993, 11, eco311, 1, 11.7, -2.63, 8.87, 0, 0, 0, 0, 0.09, 0, 
1993, 12, eco311, 1, 15.87, -8.06, 1.77, 0, 0, 0, 0, 0.09, 0, 
1994, 1, eco311, 1, 14.68, -17, -4.32, 0, 0, 0, 0, 0.09, 0, 
1994, 2, eco311, 1, 5.17, -13.26, -1.19, 0, 0, 0, 0, 0.09, 0, 
1994, 3, eco311, 1, 15.72, -6.71, 4.77, 0, 0, 0, 0, 0.09, 0, 
1994, 4, eco311, 1, 10.04, 0.2, 13.83, 0, 0, 0, 0, 0.09, 0, 
1994, 5, eco311, 1, 10.47, 4.1, 18.35, 0, 0, 0, 0, 0.09, 0, 
1994, 6, eco311, 1, 8.07, 11.47, 25.2, 0, 0, 0, 0, 0.09, 0, 
1994, 7, eco311, 1, 17.46, 15.55, 28.13, 0, 0, 0, 0, 0.09, 0, 
1994, 8, eco311, 1, 15.68, 11.93, 24.81, 0, 0, 0, 0, 0.09, 0, 
