Year, Month, ClimateRegionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,7,1,RedOak,97,1930.0,0.0,0.02,0.00,1.16,0.00,12.68,0.10,0.75,0.00,0.64,0.00,0.05,1.00,0.76,1.00,380,25000,20000,1930.0,19.1,3.33,4.99,1.56,2.35,0.00,0.15,0.15,2.15,4.99,1.17,0.00,
1,7,1,RedOak,62,1830.0,0.0,0.00,0.00,1.10,0.00,12.68,0.10,0.71,0.00,0.64,0.00,0.05,1.00,0.76,1.00,380,25000,20007,1830.0,19.1,3.33,5.00,1.57,2.35,0.00,0.15,0.15,2.23,5.00,1.10,0.00,
1,7,1,RedMaple,62,8000.0,0.0,0.01,0.00,4.80,0.00,12.68,0.10,3.49,0.00,0.64,0.00,0.05,1.00,0.76,1.00,440,25000,20014,8000.0,19.1,3.85,5.78,1.81,2.72,0.00,0.16,0.16,-0.96,5.78,4.81,0.00,
1,7,1,RedMaple,54,6500.0,0.0,0.01,0.00,3.90,0.00,12.68,0.10,3.04,0.00,0.64,0.00,0.05,1.00,0.76,1.00,440,25000,20018,6500.0,19.1,3.85,5.78,1.81,2.72,0.00,0.16,0.16,-0.05,5.78,3.91,0.00,
1,7,1,RedOak,52,1740.0,0.0,0.00,0.00,1.04,0.00,12.68,0.10,0.68,0.00,0.64,0.00,0.05,1.00,0.76,1.00,380,25000,20023,1740.0,19.1,3.33,4.99,1.56,2.34,0.00,0.15,0.15,2.28,4.99,1.05,0.00,
1,8,1,RedOak,97,1932.2,5.0,0.02,0.00,1.16,0.00,4.39,0.66,0.75,0.88,1.16,0.00,0.27,0.45,0.87,1.00,380,25000,20030,1937.1,20.8,9.91,14.86,4.66,6.99,0.00,0.46,0.46,8.73,14.86,1.18,0.00,
1,8,1,RedOak,62,1832.2,5.0,0.00,0.00,1.10,0.00,4.39,0.63,0.71,0.88,1.16,0.00,0.26,0.45,0.87,1.00,380,25000,20053,1837.2,20.8,9.49,14.23,4.46,6.69,0.00,0.44,0.44,8.38,14.23,1.10,0.00,
1,8,1,RedMaple,62,7999.0,5.8,0.01,0.00,4.80,0.00,4.39,3.19,3.49,0.91,1.16,0.00,0.78,0.33,0.87,1.00,440,25000,20075,8004.8,20.8,24.84,37.25,11.67,17.51,0.00,1.02,1.02,20.03,37.25,4.81,0.00,
1,8,1,RedMaple,54,6499.9,5.8,0.01,0.00,3.90,0.00,4.39,2.77,3.04,0.91,1.16,0.00,0.73,0.33,0.87,1.00,440,25000,20133,6505.7,20.8,23.13,34.70,10.87,16.31,0.00,0.95,0.95,19.23,34.70,3.91,0.00,
1,8,1,RedOak,52,1742.3,5.0,0.00,0.00,1.05,0.00,4.39,0.60,0.68,0.88,1.16,0.00,0.25,0.45,0.87,1.00,380,25000,20187,1747.3,20.8,8.96,13.44,4.21,6.32,0.00,0.41,0.41,7.92,13.44,1.05,0.00,
1,9,1,RedOak,97,1940.9,19.9,0.02,0.00,1.16,19.86,2.62,0.75,0.75,1.00,0.90,0.00,0.30,0.44,0.46,1.00,380,25000,20208,1960.7,15.0,5.62,8.43,2.64,3.96,0.00,0.26,0.26,4.44,-11.43,1.18,19.86,
1,9,1,RedOak,62,1840.6,19.2,0.00,0.00,1.10,19.23,2.62,0.72,0.72,1.00,0.90,0.00,0.29,0.44,0.46,1.00,380,25000,20201,1859.8,15.0,5.41,8.11,2.54,3.81,0.00,0.25,0.25,4.30,-11.12,1.11,19.23,
1,9,1,RedMaple,62,8019.1,43.0,0.01,0.00,4.81,43.03,2.62,3.50,3.50,1.00,0.90,0.00,0.81,0.33,0.46,1.00,440,25000,20195,8062.1,15.0,13.15,19.73,6.18,9.27,0.00,0.54,0.54,8.33,-23.30,4.82,43.03,
1,9,1,RedMaple,54,6519.2,40.5,0.01,0.00,3.91,40.48,2.62,3.04,3.04,1.00,0.90,0.00,0.76,0.33,0.46,1.00,440,25000,20180,6559.7,15.0,12.43,18.64,5.84,8.76,0.00,0.51,0.51,8.51,-21.84,3.92,40.48,
1,9,1,RedOak,52,1750.2,18.4,0.00,0.00,1.05,18.43,2.62,0.68,0.68,1.00,0.90,0.00,0.27,0.44,0.46,1.00,380,25000,20167,1768.6,15.0,5.22,7.83,2.45,3.68,0.00,0.24,0.24,4.17,-10.60,1.05,18.43,
1,10,1,RedOak,97,1945.3,8.4,0.02,0.00,1.17,8.43,9.46,0.73,0.75,0.97,0.85,0.21,0.29,1.00,0.12,1.00,380,25000,20161,1953.8,8.4,3.22,4.82,1.51,2.27,0.00,0.15,0.15,2.03,-3.60,1.18,8.43,
1,10,1,RedOak,62,1844.9,8.1,0.00,0.00,1.11,8.11,9.46,0.69,0.72,0.97,0.85,0.21,0.28,1.00,0.12,1.00,380,25000,20160,1853.0,8.4,3.08,4.62,1.45,2.17,0.00,0.14,0.14,1.97,-3.48,1.11,8.11,
1,10,1,RedMaple,62,8027.4,19.7,0.01,0.00,4.82,19.73,9.46,3.50,3.50,1.00,0.85,0.35,0.81,1.00,0.12,1.00,440,25000,20158,8047.1,8.4,10.34,15.51,4.86,7.29,0.00,0.43,0.43,5.51,-4.22,4.83,19.73,
1,10,1,RedMaple,54,6527.7,18.6,0.01,0.00,3.92,18.64,9.46,3.05,3.05,1.00,0.85,0.33,0.76,1.00,0.12,1.00,440,25000,20159,6546.3,8.4,9.75,14.63,4.58,6.87,0.00,0.40,0.40,5.83,-4.01,3.92,18.64,
1,10,1,RedOak,52,1754.4,7.8,0.00,0.00,1.05,7.83,9.46,0.66,0.69,0.96,0.85,0.20,0.27,1.00,0.12,1.00,380,25000,20161,1762.2,8.4,2.95,4.43,1.39,2.08,0.00,0.14,0.14,1.90,-3.40,1.05,7.83,
