Time, Species, ClimateRegion, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
1, abiebals, eco311,0.00,0.00,0.00,0.00
1, RedMaple, eco311,0.00,0.00,0.00,0.00
1, acersacc, eco311,0.00,0.00,0.00,0.00
1, betualle, eco311,0.00,0.00,NaN,NaN
1, betulent, eco311,0.00,0.00,0.00,0.00
1, betupapy, eco311,0.00,0.00,0.00,0.00
1, betupopu, eco311,0.00,0.00,0.00,0.00
1, caryglab, eco311,0.00,0.00,0.00,0.00
1, fagugran, eco311,0.00,0.00,0.00,0.00
1, fraxamer, eco311,0.00,0.00,0.00,0.00
1, fraxnigr, eco311,0.00,0.00,0.00,0.00
1, larilari, eco311,0.00,0.00,0.00,0.00
1, ostrvirg, eco311,0.00,0.00,0.00,0.00
1, piceglau, eco311,0.00,0.00,0.00,0.00
1, picemari, eco311,0.00,0.00,0.00,0.00
1, picerube, eco311,0.00,0.00,0.00,0.00
1, pinuresi, eco311,0.00,0.00,0.00,0.00
1, pinurigi, eco311,0.00,0.00,0.00,0.00
1, pinustro, eco311,0.00,0.00,0.00,0.00
1, popubals, eco311,0.00,0.00,NaN,NaN
1, popugran, eco311,0.00,0.00,NaN,NaN
1, poputrem, eco311,0.00,0.00,NaN,NaN
1, prunsero, eco311,0.00,0.00,NaN,NaN
1, queralba, eco311,0.00,0.00,0.00,0.00
1, quercocc, eco311,0.00,0.00,NaN,NaN
1, querprin, eco311,0.00,0.00,0.00,0.00
1, RedOak, eco311,0.00,0.00,0.00,0.00
1, quervelu, eco311,0.00,0.00,0.00,0.00
1, thujocci, eco311,0.00,0.00,NaN,NaN
1, tiliamer, eco311,0.00,0.00,0.00,0.00
1, tsugcana, eco311,0.00,0.00,0.00,0.00
1, ulmuamer, eco311,0.00,0.00,0.00,0.00
2, abiebals, eco311,0.00,0.00,NaN,NaN
2, RedMaple, eco311,0.00,0.00,0.00,0.00
2, acersacc, eco311,0.00,0.00,NaN,NaN
2, betualle, eco311,0.00,0.00,0.00,0.00
2, betulent, eco311,0.00,0.00,0.00,0.00
2, betupapy, eco311,0.00,0.00,0.00,0.00
2, betupopu, eco311,0.00,0.00,NaN,NaN
2, caryglab, eco311,0.00,0.00,0.00,0.00
2, fagugran, eco311,0.00,0.00,NaN,NaN
2, fraxamer, eco311,0.00,0.00,0.00,0.00
2, fraxnigr, eco311,0.00,0.00,0.00,0.00
2, larilari, eco311,0.00,0.00,0.00,0.00
2, ostrvirg, eco311,0.00,0.00,0.00,0.00
2, piceglau, eco311,0.00,0.00,0.00,0.00
2, picemari, eco311,0.00,0.00,0.00,0.00
2, picerube, eco311,0.00,0.00,NaN,NaN
2, pinuresi, eco311,0.00,0.00,0.00,0.00
2, pinurigi, eco311,0.00,0.00,0.00,0.00
2, pinustro, eco311,0.00,0.00,0.00,0.00
2, popubals, eco311,0.00,0.00,0.00,0.00
2, popugran, eco311,0.00,0.00,0.00,0.00
2, poputrem, eco311,0.00,0.00,0.00,0.00
2, prunsero, eco311,0.00,0.00,0.00,0.00
2, queralba, eco311,0.00,0.00,0.00,0.00
2, quercocc, eco311,0.00,0.00,0.00,0.00
2, querprin, eco311,0.00,0.00,0.00,0.00
2, RedOak, eco311,0.00,0.00,0.00,0.00
2, quervelu, eco311,0.00,0.00,0.00,0.00
2, thujocci, eco311,0.00,0.00,0.00,0.00
2, tiliamer, eco311,0.00,0.00,0.00,0.00
2, tsugcana, eco311,0.00,0.00,NaN,NaN
2, ulmuamer, eco311,0.00,0.00,0.00,0.00
3, abiebals, eco311,0.00,0.00,NaN,NaN
3, RedMaple, eco311,0.00,0.00,0.00,0.00
3, acersacc, eco311,0.00,0.00,NaN,NaN
3, betualle, eco311,0.00,0.00,NaN,NaN
3, betulent, eco311,0.00,0.00,0.00,0.00
3, betupapy, eco311,0.00,0.00,0.00,0.00
3, betupopu, eco311,0.00,0.00,0.00,0.00
3, caryglab, eco311,0.00,0.00,0.00,0.00
3, fagugran, eco311,0.00,0.00,NaN,NaN
3, fraxamer, eco311,0.00,0.00,0.00,0.00
3, fraxnigr, eco311,0.00,0.00,0.00,0.00
3, larilari, eco311,0.00,0.00,0.00,0.00
