Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 5064, 20000, 0, 3, 608.2, 
1, 135.2, 4583, 20495, 418.1, 13.85, 629.8, 
2, 111.3, 4337.9, 20579, 434.4, 26.62, 600.1, 
3, 180.7, 4104.1, 20872, 476.7, 44.38, 510.8, 
4, 123.7, 3923.2, 21097, 482, 54.42, 411, 
5, 74.4, 3776.7, 21332, 485.2, 60.09, 315.3, 
6, 129.3, 3620.2, 21579, 429.3, 69.22, 231.9, 
7, 60.4, 3481.7, 21813, 468.7, 74.11, 167.7, 
8, 4.5, 3380.4, 21978, 431.5, 73.38, 136.5, 
9, 33.1, 3281.6, 22108, 341.7, 73.98, 123.2, 
10, 25.4, 3195, 22222, 325.4, 73.8, 115, 
11, -45.3, 3103.2, 22511, 417, 74.85, 97.8, 
12, 32.1, 3044.4, 22556, 329, 74.58, 94, 
13, 4.8, 2983.1, 22641, 330.7, 72.27, 94.6, 
14, -16.5, 2920.6, 22785, 354.1, 69.77, 91.7, 
15, -27.8, 2869.1, 22891, 339.7, 66.29, 93.3, 
16, -38.2, 2844.1, 22968, 301.3, 62.77, 101, 
17, 26.2, 2816.4, 22936, 191.7, 61.01, 116.8, 
18, -50.8, 2768.9, 23169, 336.3, 59.32, 98.9, 
19, -19.8, 2749.4, 23212, 292.8, 56.27, 96.4, 
20, -30.2, 2713.4, 23354, 364.2, 52.91, 84.2, 
