Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco311, 1, 1, 0, 5064, 20000, 0, 0, 0, 0, 3, 468.7, 0, 0, 0, 9400, 1880, 608.2, 23.5, 0, 0, 51.7, 9.1, 54, 109, 2995, 1906, 0, 0, 18.6, 31.8, 3, 0.1, 0, 0, 0.3, 0.9, 5, 11, 171, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 415.2, 0, 0, 
1, eco311, 1, 1, 135.2, 4583, 20495, 418.1, 158.9, 116.5, 68.1, 13.85, 466.9, 47.7, 134.4, 67.2, 9499.1, 1899.8, 629.8, 30.6, 16, 5.3, 12.4, 1.2, 44.7, 195.6, 2435.6, 1907.1, 5.5, 2.2, 18.8, 32.1, 3, 0.3, 0.1, 0.3, 0.1, 0.1, 2.7, 24.5, 139.2, 224.2, 0.1, -0.6, 0.3, 0.3, 4.4, 18.5, 0.3, 0, 1.03, 22.49, 2.77, 0, 0, 13, 2.3, 405.1, 0.1, 0, 
2, eco311, 1, 1, 111.3, 4337.9, 20579, 434.4, 165.1, 325.4, 69.2, 26.62, 462.5, 47.6, 69.6, 34.8, 9603.7, 1920.7, 600.1, 33.7, 64, 28.1, 48.9, 7.5, 97.4, 203.8, 2128.7, 1908, 2.8, 1.1, 19, 32.5, 2.6, 0.4, 0.3, 1.2, 0.2, 0.6, 5.3, 26, 119.4, 224.4, 0.1, -1.5, 0.1, -0.1, 4.3, 21.5, 0, 0, 0.82, 18.51, 2.92, 0, 0, 11.7, 6.2, 404.1, 0.2, 0, 
3, eco311, 1, 1, 180.7, 4104.1, 20872, 476.7, 181.1, 268.7, 69.9, 44.38, 460.6, 54.6, 86.9, 43.4, 9724.4, 1944.9, 510.8, 33, 49.3, 11.6, 45.7, 2.2, 112.8, 183.7, 1898.8, 1908.8, 3.6, 1.4, 19.2, 32.8, 2.1, 0.5, 0.3, 0.6, 0.2, 0.2, 5.1, 23.4, 102.2, 224.6, 0.2, -1.5, 0.1, 0.1, 7.3, 25, -0.9, 0, 0.7, 11.91, 2.36, 0, 0, 12.2, 5.2, 401, 0.4, 0, 
4, eco311, 1, 1, 123.7, 3923.2, 21097, 482, 183.2, 305.6, 70.9, 54.42, 454.4, 47.9, 70.5, 35.3, 9846.3, 1969.3, 411, 33, 52.7, 14.2, 52.1, 3.3, 122.2, 169.8, 1721.8, 1909.4, 2.8, 1.2, 19.5, 33.2, 1.6, 0.5, 0.3, 0.7, 0.3, 0.3, 5.3, 21.7, 87.9, 224.7, 0.2, -1.6, 0.1, 0, 7, 21.3, -1.9, 0, 0.99, 21.75, 5.03, 0, 0, 13.3, 5.9, 395.6, 0.56, 0, 
5, eco311, 1, 1, 74.4, 3776.7, 21332, 485.2, 184.4, 302.6, 71.9, 60.09, 447.6, 43.8, 59, 29.5, 9968.5, 1993.7, 315.3, 33.4, 58.5, 19.7, 59.8, 6.3, 123.7, 159.1, 1583.8, 1910.1, 2.4, 0.9, 19.7, 33.6, 1.1, 0.5, 0.3, 0.9, 0.3, 0.5, 5.5, 20.3, 76.5, 224.9, 0.2, -1.5, 0.1, 0, 6.8, 19.4, -2.7, 0, 1.01, 16.08, 4.99, 0, 0, 14.2, 5.8, 389.2, 0.66, 0, 
6, eco311, 1, 1, 129.3, 3620.2, 21579, 429.3, 163.1, 241.6, 72.6, 69.22, 444.4, 42.8, 75, 37.5, 10067.7, 2013.5, 231.9, 32.4, 43.9, 10.3, 47.1, 2, 108.5, 143.1, 1458, 1910.6, 3.1, 1.2, 19.9, 33.9, 0.7, 0.5, 0.2, 0.5, 0.2, 0.2, 4.7, 18.2, 66.8, 225, 0.2, -1.3, 0.1, 0.1, 6.9, 19.6, -3.7, 0, 0.7, 9.64, 2.95, 0, 0, 11.2, 4.7, 385, 0.75, 0, 
7, eco311, 1, 1, 60.4, 3481.7, 21813, 468.7, 178.1, 284.4, 73.4, 74.11, 439.7, 41.3, 71.8, 35.9, 10181.8, 2036.4, 167.7, 31.2, 44.3, 11, 45.8, 2.2, 99.1, 132.4, 1339.2, 1911, 3, 1.1, 20.2, 34.3, 0.5, 0.5, 0.2, 0.5, 0.2, 0.2, 4.6, 16.8, 58.3, 225.1, 0.2, -1.5, 0.1, 0, 6.7, 18.7, -4.5, 0, 0.75, 11.17, 3.63, 0, 0, 12.8, 5.5, 380.1, 0.82, 0, 
8, eco311, 1, 1, 4.5, 3380.4, 21978, 431.5, 164, 280.9, 74.3, 73.38, 431.8, 34.6, 49.9, 24.9, 10280.2, 2056, 136.5, 32.5, 53.7, 18.1, 54.3, 5.7, 96.1, 127.3, 1245.7, 1911.4, 2.1, 0.8, 20.4, 34.6, 0.3, 0.5, 0.3, 0.8, 0.3, 0.4, 4.9, 16.1, 51.7, 225.2, 0.2, -1.4, 0.1, 0, 5.9, 15.3, -4.3, 0, 1.01, 13.23, 5.62, 0, 0, 12.8, 5.4, 373.1, 0.85, 0, 
9, eco311, 1, 1, 33.1, 3281.6, 22108, 341.7, 129.8, 204.8, 74.8, 73.98, 426, 29.2, 50.1, 25, 10342.1, 2068.4, 123.2, 33.9, 50.8, 18.2, 49.3, 4.6, 88.8, 119, 1162.2, 1911.5, 2, 0.8, 20.5, 34.8, 0.3, 0.6, 0.3, 0.8, 0.3, 0.4, 4.6, 15, 46.5, 225.2, 0.1, -1, 0.1, 0, 5, 13.4, -4.2, 0, 0.82, 11.94, 4.87, 0, 0, 9.5, 4, 367, 0.86, 0, 
