Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco311, 1, 1, 25.4, 18.9, 28.68, 164.83, 136.14, 0.19, 0.5, 
1, 8, eco311, 1, 1, 8.4, 20.6, 123.76, 51.71, -72.05, 0.07, 0.04, 
1, 9, eco311, 1, 1, 3.4, 14.8, 67.81, 43.55, -24.27, 0.03, 0, 
1, 10, eco311, 1, 1, 16.9, 8.2, 47.58, 67.58, 20, 0.13, 0.29, 
1, 11, eco311, 1, 1, 6.1, 6.3, 0, 63.47, 63.47, 0.05, 0.07, 
1, 12, eco311, 1, 1, 9, -3.5, 0, 1.16, 1.16, 0.07, 0, 
1, 1, eco311, 1, 1, 7.9, -8.1, 0, 0.88, 0.88, 0.07, 0, 
1, 2, eco311, 1, 1, 3.6, -2.8, 0, 1.22, 1.22, 0.04, 0, 
1, 3, eco311, 1, 1, 7.5, 1.2, 0, 48.62, 48.62, 0.06, 0.19, 
1, 4, eco311, 1, 1, 8.3, 8.5, 4.82, 62.18, 57.37, 0.07, 0.46, 
1, 5, eco311, 1, 1, 13, 13.2, 66.24, 94.61, 28.37, 0.1, 0.5, 
1, 6, eco311, 1, 1, 18.2, 16.8, 238.04, 112.36, -125.68, 0.14, 0.73, 
2, 7, eco311, 1, 1, 13.2, 18.1, 180.65, 100.59, -80.06, 0.1, 0.39, 
2, 8, eco311, 1, 1, 15.3, 17.8, 216.36, 107.2, -109.16, 0.12, 0.54, 
2, 9, eco311, 1, 1, 1.2, 16.3, 29.23, 21.72, -7.51, 0.02, 0, 
2, 10, eco311, 1, 1, 2.5, 4.6, 13.19, 92.35, 79.16, 0.03, 0, 
2, 11, eco311, 1, 1, 13.4, 1.7, 0, 73.88, 73.88, 0.1, 0, 
2, 12, eco311, 1, 1, 6.9, -2.8, 0, 1.65, 1.65, 0.06, 0.06, 
2, 1, eco311, 1, 1, 5.1, -5.2, 0, 1.43, 1.43, 0.05, 0.06, 
2, 2, eco311, 1, 1, 5.8, -4.2, 0, 1.53, 1.53, 0.05, 0.07, 
2, 3, eco311, 1, 1, 11, -1.5, 0, 1.79, 1.79, 0.09, 0.1, 
2, 4, eco311, 1, 1, 8, 4.8, 1.62, 63.37, 61.74, 0.07, 0.42, 
2, 5, eco311, 1, 1, 6, 12.4, 25.15, 124.11, 98.96, 0.05, 0.92, 
2, 6, eco311, 1, 1, 10.7, 16.9, 133.3, 121.16, -12.14, 0.09, 0.36, 
