Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2000, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2001, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2002, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2003, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2004, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2005, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2006, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2007, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2008, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2009, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2010, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2011, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2012, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2013, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2014, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2015, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2016, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2017, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2018, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
2019, ClimateRegion3, 0, 128.46, 19.36, 0, 365, 0, 
