Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,FWI,
2000, 1, ClimateRegion3, 0, 7.39, 3.51, 16.81, 0, 0, -99, -99, -99, 0, 
2000, 2, ClimateRegion3, 0, 7.16, 4.28, 21.57, 0, 0, -99, -99, -99, 0, 
2000, 3, ClimateRegion3, 0, 9.88, 9.16, 24.63, 0, 0, -99, -99, -99, 0, 
2000, 4, ClimateRegion3, 0, 2.06, 9.69, 25.36, 0, 0, -99, -99, -99, 0, 
2000, 5, ClimateRegion3, 0, 0.53, 17.46, 32.54, 0, 0, -99, -99, -99, 0, 
2000, 6, ClimateRegion3, 0, 11.28, 20.02, 34.16, 0, 0, -99, -99, -99, 0, 
2000, 7, ClimateRegion3, 0, 22.53, 21.6, 34.87, 0, 0, -99, -99, -99, 0, 
2000, 8, ClimateRegion3, 0, 6.45, 21.03, 34.01, 0, 0, -99, -99, -99, 0, 
2000, 9, ClimateRegion3, 0, 26.85, 19.11, 29.69, 0, 0, -99, -99, -99, 0, 
2000, 10, ClimateRegion3, 0, 3.63, 10.74, 27.3, 0, 0, -99, -99, -99, 0, 
2000, 11, ClimateRegion3, 0, 16.31, 7.34, 20.64, 0, 0, -99, -99, -99, 0, 
2000, 12, ClimateRegion3, 0, 9.14, 1.2, 13.85, 0, 0, -99, -99, -99, 0, 
2001, 1, ClimateRegion3, 0, 7.14, 0.51, 15.69, 0, 0, -99, -99, -99, 0, 
2001, 2, ClimateRegion3, 0, 1.8, 8.14, 21.31, 0, 0, -99, -99, -99, 0, 
2001, 3, ClimateRegion3, 0, 35.23, 7.8, 19.86, 0, 0, -99, -99, -99, 0, 
2001, 4, ClimateRegion3, 0, 9.73, 12.38, 26.86, 0, 0, -99, -99, -99, 0, 
2001, 5, ClimateRegion3, 0, 5.13, 15.4, 30.18, 0, 0, -99, -99, -99, 0, 
2001, 6, ClimateRegion3, 0, 23.5, 20.32, 31.53, 0, 0, -99, -99, -99, 0, 
2001, 7, ClimateRegion3, 0, 6.81, 21.79, 33.62, 0, 0, -99, -99, -99, 0, 
2001, 8, ClimateRegion3, 0, 5.44, 21.11, 33.2, 0, 0, -99, -99, -99, 0, 
2001, 9, ClimateRegion3, 0, 18.16, 17.54, 29.85, 0, 0, -99, -99, -99, 0, 
2001, 10, ClimateRegion3, 0, 2.77, 10.31, 26.28, 0, 0, -99, -99, -99, 0, 
2001, 11, ClimateRegion3, 0, 7.44, 9.36, 25.32, 0, 0, -99, -99, -99, 0, 
2001, 12, ClimateRegion3, 0, 2.62, 6.22, 19.9, 0, 0, -99, -99, -99, 0, 
2002, 1, ClimateRegion3, 0, 8.79, 4.23, 17.77, 0, 0, -99, -99, -99, 0, 
2002, 2, ClimateRegion3, 0, 5.23, 2.63, 17.91, 0, 0, -99, -99, -99, 0, 
2002, 3, ClimateRegion3, 0, 22.43, 7.44, 24.03, 0, 0, -99, -99, -99, 0, 
2002, 4, ClimateRegion3, 0, 4.39, 15.23, 28.39, 0, 0, -99, -99, -99, 0, 
2002, 5, ClimateRegion3, 0, 3.73, 16.33, 30.67, 0, 0, -99, -99, -99, 0, 
2002, 6, ClimateRegion3, 0, 9.68, 20.4, 32.54, 0, 0, -99, -99, -99, 0, 
2002, 7, ClimateRegion3, 0, 27.61, 21.77, 33.64, 0, 0, -99, -99, -99, 0, 
2002, 8, ClimateRegion3, 0, 12.37, 21.18, 32.72, 0, 0, -99, -99, -99, 0, 
2002, 9, ClimateRegion3, 0, 20.09, 21.3, 31.6, 0, 0, -99, -99, -99, 0, 
2002, 10, ClimateRegion3, 0, 11.02, 17.22, 27.47, 0, 0, -99, -99, -99, 0, 
2002, 11, ClimateRegion3, 0, 16.66, 6.25, 20.06, 0, 0, -99, -99, -99, 0, 
2002, 12, ClimateRegion3, 0, 12.78, 2.87, 16.71, 0, 0, -99, -99, -99, 0, 
2003, 1, ClimateRegion3, 0, 0.51, 0.3, 14.8, 0, 0, -99, -99, -99, 0, 
2003, 2, ClimateRegion3, 0, 12.8, 4.67, 18.46, 0, 0, -99, -99, -99, 0, 
2003, 3, ClimateRegion3, 0, 20.07, 11.77, 22.78, 0, 0, -99, -99, -99, 0, 
2003, 4, ClimateRegion3, 0, 15.16, 12.42, 26, 0, 0, -99, -99, -99, 0, 
2003, 5, ClimateRegion3, 0, 6.5, 18.09, 30.12, 0, 0, -99, -99, -99, 0, 
2003, 6, ClimateRegion3, 0, 14.99, 20.77, 31.48, 0, 0, -99, -99, -99, 0, 
2003, 7, ClimateRegion3, 0, 17.81, 21.55, 31.47, 0, 0, -99, -99, -99, 0, 
2003, 8, ClimateRegion3, 0, 18.42, 21.79, 31.97, 0, 0, -99, -99, -99, 0, 
2003, 9, ClimateRegion3, 0, 5.49, 17.98, 29.87, 0, 0, -99, -99, -99, 0, 
2003, 10, ClimateRegion3, 0, 7.82, 13.32, 26.22, 0, 0, -99, -99, -99, 0, 
2003, 11, ClimateRegion3, 0, 4.95, 8.67, 23.77, 0, 0, -99, -99, -99, 0, 
2003, 12, ClimateRegion3, 0, 5.06, 0.52, 16.46, 0, 0, -99, -99, -99, 0, 
2004, 1, ClimateRegion3, 0, 9.27, 2.02, 16.61, 0, 0, -99, -99, -99, 0, 
2004, 2, ClimateRegion3, 0, 16.08, 4.15, 15.25, 0, 0, -99, -99, -99, 0, 
2004, 3, ClimateRegion3, 0, 2.36, 8.41, 24.24, 0, 0, -99, -99, -99, 0, 
2004, 4, ClimateRegion3, 0, 9.63, 9.29, 25.85, 0, 0, -99, -99, -99, 0, 
2004, 5, ClimateRegion3, 0, 1.68, 16.94, 30.77, 0, 0, -99, -99, -99, 0, 
2004, 6, ClimateRegion3, 0, 15.42, 20.71, 31.72, 0, 0, -99, -99, -99, 0, 
2004, 7, ClimateRegion3, 0, 9.3, 21.41, 33.04, 0, 0, -99, -99, -99, 0, 
2004, 8, ClimateRegion3, 0, 10.52, 21.13, 32.12, 0, 0, -99, -99, -99, 0, 
2004, 9, ClimateRegion3, 0, 18.64, 20.1, 29.15, 0, 0, -99, -99, -99, 0, 
2004, 10, ClimateRegion3, 0, 4.83, 15.66, 27.31, 0, 0, -99, -99, -99, 0, 
2004, 11, ClimateRegion3, 0, 11.86, 9.47, 22.29, 0, 0, -99, -99, -99, 0, 
2004, 12, ClimateRegion3, 0, 9.07, 2.91, 16.27, 0, 0, -99, -99, -99, 0, 
2005, 1, ClimateRegion3, 0, 5.69, 5.64, 17.64, 0, 0, -99, -99, -99, 0, 
2005, 2, ClimateRegion3, 0, 6.73, 6.42, 18.51, 0, 0, -99, -99, -99, 0, 
2005, 3, ClimateRegion3, 0, 25.3, 7.19, 20.37, 0, 0, -99, -99, -99, 0, 
2005, 4, ClimateRegion3, 0, 22.3, 10.3, 23.74, 0, 0, -99, -99, -99, 0, 
2005, 5, ClimateRegion3, 0, 7.85, 15.41, 28.45, 0, 0, -99, -99, -99, 0, 
2005, 6, ClimateRegion3, 0, 18.09, 20.92, 31.1, 0, 0, -99, -99, -99, 0, 
2005, 7, ClimateRegion3, 0, 22, 22.74, 32.66, 0, 0, -99, -99, -99, 0, 
2005, 8, ClimateRegion3, 0, 17.53, 22.59, 32.32, 0, 0, -99, -99, -99, 0, 
2005, 9, ClimateRegion3, 0, 1.27, 19.81, 32.04, 0, 0, -99, -99, -99, 0, 
2005, 10, ClimateRegion3, 0, 2.74, 12.88, 26.4, 0, 0, -99, -99, -99, 0, 
2005, 11, ClimateRegion3, 0, 7.54, 8.27, 23.28, 0, 0, -99, -99, -99, 0, 
2005, 12, ClimateRegion3, 0, 14.22, 2.2, 16.1, 0, 0, -99, -99, -99, 0, 
2006, 1, ClimateRegion3, 0, 18.16, 6.28, 19.87, 0, 0, -99, -99, -99, 0, 
2006, 2, ClimateRegion3, 0, 10.62, 3.31, 17.65, 0, 0, -99, -99, -99, 0, 
2006, 3, ClimateRegion3, 0, 0.31, 7.26, 23.23, 0, 0, -99, -99, -99, 0, 
2006, 4, ClimateRegion3, 0, 4.93, 13.78, 28.59, 0, 0, -99, -99, -99, 0, 
2006, 5, ClimateRegion3, 0, 16.61, 16.38, 29.81, 0, 0, -99, -99, -99, 0, 
2006, 6, ClimateRegion3, 0, 11.28, 19.49, 33.19, 0, 0, -99, -99, -99, 0, 
2006, 7, ClimateRegion3, 0, 5.51, 21.28, 34.28, 0, 0, -99, -99, -99, 0, 
2006, 8, ClimateRegion3, 0, 16.54, 22.29, 33.88, 0, 0, -99, -99, -99, 0, 
2006, 9, ClimateRegion3, 0, 12.12, 18.47, 30.09, 0, 0, -99, -99, -99, 0, 
2006, 10, ClimateRegion3, 0, 9.12, 11.37, 25.94, 0, 0, -99, -99, -99, 0, 
2006, 11, ClimateRegion3, 0, 10.44, 6.59, 21.13, 0, 0, -99, -99, -99, 0, 
2006, 12, ClimateRegion3, 0, 11.3, 5.91, 19.58, 0, 0, -99, -99, -99, 0, 
2007, 1, ClimateRegion3, 0, 12.68, 5.33, 16.92, 0, 0, -99, -99, -99, 0, 
2007, 2, ClimateRegion3, 0, 8.87, 2.87, 17.95, 0, 0, -99, -99, -99, 0, 
2007, 3, ClimateRegion3, 0, 3.86, 8.2, 25.04, 0, 0, -99, -99, -99, 0, 
2007, 4, ClimateRegion3, 0, 6.53, 9.79, 25.35, 0, 0, -99, -99, -99, 0, 
2007, 5, ClimateRegion3, 0, 0, 14.75, 31.05, 0, 0, -99, -99, -99, 0, 
2007, 6, ClimateRegion3, 0, 5.08, 19.85, 33.61, 0, 0, -99, -99, -99, 0, 
2007, 7, ClimateRegion3, 0, 4.32, 21.67, 34.63, 0, 0, -99, -99, -99, 0, 
2007, 8, ClimateRegion3, 0, 22.66, 23.03, 35.31, 0, 0, -99, -99, -99, 0, 
2007, 9, ClimateRegion3, 0, 2.44, 19.53, 31.64, 0, 0, -99, -99, -99, 0, 
2007, 10, ClimateRegion3, 0, 10.06, 15.46, 27.49, 0, 0, -99, -99, -99, 0, 
2007, 11, ClimateRegion3, 0, 4.55, 6.11, 22.03, 0, 0, -99, -99, -99, 0, 
2007, 12, ClimateRegion3, 0, 14.91, 6.66, 20.28, 0, 0, -99, -99, -99, 0, 
2008, 1, ClimateRegion3, 0, 8.59, 2.91, 15.3, 0, 0, -99, -99, -99, 0, 
2008, 2, ClimateRegion3, 0, 18.16, 3.75, 20.25, 0, 0, -99, -99, -99, 0, 
2008, 3, ClimateRegion3, 0, 7.39, 6.85, 22.3, 0, 0, -99, -99, -99, 0, 
2008, 4, ClimateRegion3, 0, 5.59, 11.99, 25.86, 0, 0, -99, -99, -99, 0, 
2008, 5, ClimateRegion3, 0, 1.96, 16.98, 30.84, 0, 0, -99, -99, -99, 0, 
2008, 6, ClimateRegion3, 0, 6.45, 20.74, 34.29, 0, 0, -99, -99, -99, 0, 
2008, 7, ClimateRegion3, 0, 9.75, 21.72, 33.65, 0, 0, -99, -99, -99, 0, 
2008, 8, ClimateRegion3, 0, 40.62, 21.83, 31.78, 0, 0, -99, -99, -99, 0, 
2008, 9, ClimateRegion3, 0, 0.1, 19.06, 31.56, 0, 0, -99, -99, -99, 0, 
2008, 10, ClimateRegion3, 0, 11.23, 11.9, 25.6, 0, 0, -99, -99, -99, 0, 
2008, 11, ClimateRegion3, 0, 7.26, 5.34, 20.29, 0, 0, -99, -99, -99, 0, 
2008, 12, ClimateRegion3, 0, 14.2, 6.35, 20.12, 0, 0, -99, -99, -99, 0, 
2009, 1, ClimateRegion3, 0, 4.6, 3.99, 17.57, 0, 0, -99, -99, -99, 0, 
2009, 2, ClimateRegion3, 0, 10.03, 2.81, 18.72, 0, 0, -99, -99, -99, 0, 
2009, 3, ClimateRegion3, 0, 29.85, 8.72, 22.53, 0, 0, -99, -99, -99, 0, 
2009, 4, ClimateRegion3, 0, 18.21, 11.86, 25.46, 0, 0, -99, -99, -99, 0, 
2009, 5, ClimateRegion3, 0, 8.64, 18.3, 29.21, 0, 0, -99, -99, -99, 0, 
2009, 6, ClimateRegion3, 0, 9.47, 21.55, 34.29, 0, 0, -99, -99, -99, 0, 
2009, 7, ClimateRegion3, 0, 12.88, 20.91, 32.73, 0, 0, -99, -99, -99, 0, 
2009, 8, ClimateRegion3, 0, 17.93, 21.32, 32.61, 0, 0, -99, -99, -99, 0, 
2009, 9, ClimateRegion3, 0, 10.31, 20.23, 31.19, 0, 0, -99, -99, -99, 0, 
2009, 10, ClimateRegion3, 0, 11.05, 15.2, 26.79, 0, 0, -99, -99, -99, 0, 
2009, 11, ClimateRegion3, 0, 5.54, 7.34, 20.98, 0, 0, -99, -99, -99, 0, 
2009, 12, ClimateRegion3, 0, 22.02, 4.66, 15.73, 0, 0, -99, -99, -99, 0, 
