Year, Month, ClimateRegionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,7,0,LongPine,270,9.0,0.0,0.01,0.00,0.01,0.00,6.53,0.10,0.02,1.00,0.00,0.00,0.05,0.41,1.00,0.05,500,15000,3557,9.0,27.8,0.28,0.16,0.13,0.08,0.00,0.00,0.00,0.26,0.16,0.01,0.00,
1,7,0,LongPine,240,17.0,0.0,0.00,0.00,0.02,0.00,6.53,0.10,0.04,1.00,0.01,0.00,0.05,0.41,1.00,0.09,500,15000,3557,17.0,27.8,0.52,0.30,0.24,0.14,0.00,0.01,0.01,0.50,0.30,0.02,0.00,
1,7,0,LongPine,230,406.0,0.0,0.06,0.00,0.41,0.00,6.53,0.87,0.87,1.00,0.05,0.00,0.34,0.41,1.00,0.11,500,15000,3557,406.0,27.8,4.75,2.79,2.23,1.31,0.00,0.05,0.05,4.29,2.79,0.46,0.00,
1,7,0,LongPine,200,41.0,0.0,0.00,0.00,0.04,0.00,6.53,0.10,0.10,1.00,0.01,0.00,0.05,0.41,1.00,0.20,500,15000,3564,41.0,27.8,1.17,0.69,0.55,0.32,0.00,0.01,0.01,1.12,0.69,0.04,0.00,
1,7,0,LongPine,190,40.0,0.0,0.00,0.00,0.04,0.00,6.53,0.10,0.09,1.00,0.01,0.00,0.05,0.41,1.00,0.20,500,15000,3565,40.0,27.8,1.14,0.67,0.54,0.32,0.00,0.01,0.01,1.10,0.67,0.04,0.00,
1,7,0,LongPine,180,40.0,0.0,0.00,0.00,0.04,0.00,6.53,0.10,0.09,1.00,0.01,0.00,0.05,0.41,1.00,0.20,500,15000,3566,40.0,27.8,1.14,0.67,0.54,0.32,0.00,0.01,0.01,1.10,0.67,0.04,0.00,
1,7,0,LongPine,170,94.0,0.0,0.00,0.00,0.09,0.00,6.53,0.22,0.22,1.00,0.02,0.00,0.10,0.41,1.00,0.19,500,15000,3567,94.0,27.8,2.30,1.35,1.08,0.63,0.00,0.02,0.02,2.20,1.35,0.10,0.00,
1,7,0,LongPine,160,106.0,0.0,0.00,0.00,0.11,0.00,6.53,0.24,0.24,1.00,0.03,0.00,0.11,0.41,1.00,0.18,500,15000,3570,106.0,27.8,2.51,1.47,1.18,0.69,0.00,0.03,0.03,2.40,1.47,0.11,0.00,
1,7,0,LongPine,150,80.0,0.0,0.00,0.00,0.08,0.00,6.53,0.18,0.18,1.00,0.02,0.00,0.08,0.41,1.00,0.19,500,15000,3573,80.0,27.8,2.04,1.20,0.96,0.56,0.00,0.02,0.02,1.96,1.20,0.08,0.00,
1,7,0,LongPine,140,125.0,0.0,0.00,0.00,0.13,0.00,6.53,0.29,0.29,1.00,0.03,0.00,0.13,0.41,1.00,0.18,500,15000,3576,125.0,27.8,2.81,1.65,1.32,0.78,0.00,0.03,0.03,2.68,1.65,0.13,0.00,
1,7,0,LongPine,130,143.0,0.0,0.00,0.00,0.14,0.00,6.53,0.33,0.33,1.00,0.03,0.00,0.14,0.41,1.00,0.17,500,15000,3580,143.0,27.8,3.06,1.80,1.44,0.85,0.00,0.03,0.03,2.92,1.80,0.14,0.00,
1,7,0,LongPine,120,198.0,0.0,0.00,0.00,0.20,0.00,6.53,0.44,0.44,1.00,0.04,0.00,0.19,0.41,1.00,0.15,500,15000,3584,198.0,27.8,3.68,2.16,1.73,1.02,0.00,0.04,0.04,3.48,2.16,0.20,0.00,
1,7,0,LongPine,110,161.0,0.0,0.00,0.00,0.16,0.00,6.53,0.36,0.36,1.00,0.04,0.00,0.16,0.41,1.00,0.16,500,15000,3589,161.0,27.8,3.29,1.93,1.55,0.91,0.00,0.04,0.04,3.13,1.93,0.16,0.00,
1,7,0,LongPine,100,229.0,0.0,0.00,0.00,0.23,0.00,6.53,0.51,0.51,1.00,0.04,0.00,0.21,0.41,1.00,0.15,500,15000,3594,229.0,27.8,3.95,2.32,1.86,1.09,0.00,0.04,0.04,3.72,2.32,0.23,0.00,
1,7,0,LongPine,90,209.0,0.0,0.00,0.00,0.21,0.00,6.53,0.47,0.47,1.00,0.04,0.00,0.20,0.41,1.00,0.15,500,15000,3600,209.0,27.8,3.78,2.22,1.78,1.04,0.00,0.04,0.04,3.57,2.22,0.21,0.00,
1,7,0,LongPine,80,1192.0,0.0,0.00,0.00,1.19,0.00,6.53,2.19,2.19,1.00,0.06,0.00,0.64,0.41,1.00,0.06,500,15000,3605,1192.0,27.8,5.20,3.06,2.45,1.44,0.00,0.06,0.06,4.01,3.06,1.19,0.00,
1,7,0,BlueJackOak,80,37.0,0.0,0.00,0.00,0.04,0.00,6.53,0.10,0.17,0.00,0.01,0.00,0.05,0.49,0.99,0.11,250,15000,3612,37.0,27.8,0.30,0.30,0.14,0.14,0.00,0.01,0.01,0.26,0.30,0.04,0.00,
1,7,0,LongPine,70,150.0,0.0,0.00,0.00,0.15,0.00,6.53,0.34,0.34,1.00,0.03,0.00,0.15,0.41,1.00,0.17,500,15000,3612,150.0,27.8,3.15,1.85,1.48,0.87,0.00,0.03,0.03,3.00,1.85,0.15,0.00,
1,7,0,LongPine,60,102.0,0.0,0.00,0.00,0.10,0.00,6.53,0.23,0.23,1.00,0.03,0.00,0.10,0.41,1.00,0.18,500,15000,3616,102.0,27.8,2.44,1.43,1.15,0.67,0.00,0.03,0.03,2.34,1.43,0.10,0.00,
1,7,0,LongPine,50,90.0,0.0,0.00,0.00,0.09,0.00,6.53,0.21,0.21,1.00,0.02,0.00,0.09,0.41,1.00,0.19,500,15000,3619,90.0,27.8,2.23,1.31,1.05,0.61,0.00,0.02,0.02,2.14,1.31,0.09,0.00,
1,7,0,LongPine,40,52.0,0.0,0.00,0.00,0.05,0.00,6.53,0.12,0.12,1.00,0.02,0.00,0.06,0.41,1.00,0.20,500,15000,3622,52.0,27.8,1.44,0.84,0.67,0.40,0.00,0.02,0.02,1.38,0.84,0.05,0.00,
1,7,0,TurkeyOak,40,6.0,0.0,0.00,0.00,0.01,0.00,6.53,0.10,0.03,0.00,0.00,0.00,0.05,0.49,0.99,0.02,250,15000,3624,6.0,27.8,0.05,0.05,0.02,0.02,0.00,0.00,0.00,0.05,0.05,0.01,0.00,
1,7,0,BlueJackOak,40,3.0,0.0,0.00,0.00,0.00,0.00,6.53,0.10,0.01,0.00,0.00,0.00,0.05,0.49,0.99,0.01,250,15000,3624,3.0,27.8,0.03,0.03,0.01,0.01,0.00,0.00,0.00,0.02,0.03,0.00,0.00,
1,7,0,LongPine,30,20.0,0.0,0.00,0.00,0.02,0.00,6.53,0.10,0.05,1.00,0.01,0.00,0.05,0.41,1.00,0.10,500,15000,3624,20.0,27.8,0.61,0.36,0.29,0.17,0.00,0.01,0.01,0.59,0.36,0.02,0.00,
1,7,0,TurkeyOak,30,5.0,0.0,0.00,0.00,0.01,0.00,6.53,0.10,0.02,0.00,0.00,0.00,0.05,0.49,0.99,0.02,250,15000,3624,5.0,27.8,0.04,0.04,0.02,0.02,0.00,0.00,0.00,0.04,0.04,0.01,0.00,
1,7,0,LongPine,20,2.0,0.0,0.00,0.00,0.00,0.00,6.53,0.10,0.00,1.00,0.00,0.00,0.05,0.41,1.00,0.01,500,15000,3624,2.0,27.8,0.06,0.04,0.03,0.02,0.00,0.00,0.00,0.06,0.04,0.00,0.00,
1,8,0,LongPine,270,9.3,0.2,0.01,0.00,0.01,0.01,10.23,0.10,0.02,1.00,0.00,0.00,0.05,0.75,1.00,0.02,500,15000,3624,9.4,27.7,0.26,0.15,0.12,0.07,0.00,0.00,0.00,0.24,0.14,0.02,0.01,
1,8,0,LongPine,240,17.5,0.3,0.00,0.00,0.02,0.01,10.23,0.10,0.04,1.00,0.01,0.00,0.05,0.75,1.00,0.05,500,15000,3624,17.8,27.7,0.48,0.28,0.23,0.13,0.00,0.01,0.01,0.46,0.27,0.02,0.01,
1,8,0,LongPine,230,410.3,2.8,0.06,0.00,0.41,0.12,10.23,0.88,0.88,1.00,0.05,0.00,0.34,0.75,1.00,0.06,500,15000,3625,413.1,27.7,4.39,2.58,2.06,1.21,0.00,0.05,0.05,3.92,2.46,0.47,0.12,
1,8,0,LongPine,200,42.1,0.7,0.00,0.00,0.04,0.03,10.23,0.10,0.10,1.00,0.01,0.00,0.05,0.75,1.00,0.10,500,15000,3631,42.8,27.7,1.08,0.63,0.51,0.30,0.00,0.01,0.01,1.04,0.61,0.04,0.03,
1,8,0,LongPine,190,41.1,0.7,0.00,0.00,0.04,0.03,10.23,0.10,0.10,1.00,0.01,0.00,0.05,0.75,1.00,0.10,500,15000,3633,41.8,27.7,1.06,0.62,0.50,0.29,0.00,0.01,0.01,1.01,0.59,0.04,0.03,
1,8,0,LongPine,180,41.1,0.7,0.00,0.00,0.04,0.03,10.23,0.10,0.10,1.00,0.01,0.00,0.05,0.75,1.00,0.10,500,15000,3635,41.8,27.7,1.06,0.62,0.50,0.29,0.00,0.01,0.01,1.02,0.59,0.04,0.03,
