Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 5239, 3574, 0, 0.5, 215.3, 
1, -247.2, 5113.2, 4087, 303.1, 0.4, 234.5, 
2, -249.1, 5025.4, 4559, 305.8, 0.43, 237.9, 
3, -265, 4967.9, 5037, 333.6, 0.47, 236.1, 
4, -283.7, 4929.4, 5535, 363.5, 0.52, 231.2, 
5, -300.6, 4903.8, 6045, 390.4, 0.55, 225.2, 
6, -314.5, 4887.5, 6575, 413, 0.58, 219.8, 
7, -325.6, 4878.5, 7112, 431.5, 0.61, 215.7, 
8, -334.3, 4875.1, 7658, 446.3, 0.63, 213.7, 
9, -340.7, 4876.1, 8205, 458, 0.64, 214, 
10, -345.4, 4880.9, 8750, 467.1, 0.65, 216.6, 
11, -348.3, 4888.5, 9296, 473.8, 0.66, 221.3, 
12, -349.6, 4898.5, 9837, 478.7, 0.66, 227.9, 
13, -349.6, 4910.5, 10372, 482, 0.67, 236.2, 
14, -348.5, 4924.2, 10897, 484, 0.67, 245.9, 
15, -346.3, 4939.3, 11419, 484.9, 0.67, 256.8, 
16, -343.1, 4955.5, 11937, 484.8, 0.67, 268.6, 
17, -342, 4973.9, 12439, 486.9, 0.67, 281.3, 
18, -335.3, 4992.9, 12931, 484.2, 0.67, 294.5, 
19, -328.6, 5012.1, 13408, 480.8, 0.66, 308.1, 
20, -319.7, 5031.3, 13874, 475.6, 0.66, 322.1, 
