Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, ClimateRegion3, 0, 1, 13.1, 27.6, 54.49, 28.89, -25.6, 0.07, 0, 
1, 8, ClimateRegion3, 0, 1, 15, 27.5, 50.39, 24.02, -26.37, 0.08, 0.01, 
1, 9, ClimateRegion3, 0, 1, 10, 25, 46.2, 19.09, -27.11, 0.06, 0, 
1, 10, ClimateRegion3, 0, 1, 5.7, 19.9, 41.53, 13.63, -27.89, 0.04, 0, 
1, 11, ClimateRegion3, 0, 1, 9.5, 14.6, 33.88, 9.47, -24.41, 0.06, 0, 
1, 12, ClimateRegion3, 0, 1, 10.9, 11.3, 28.22, 6.95, -21.27, 0.06, 0.01, 
1, 1, ClimateRegion3, 0, 1, 8.8, 9.9, 18.58, 6.07, -12.51, 0.05, 0.01, 
1, 2, ClimateRegion3, 0, 1, 12.1, 11.4, 25.69, 6.94, -18.75, 0.07, 0.01, 
1, 3, ClimateRegion3, 0, 1, 13.7, 15.5, 23.96, 10.28, -13.68, 0.07, 0.01, 
1, 4, ClimateRegion3, 0, 1, 10.9, 19.2, 29.68, 13.55, -16.13, 0.06, 0.01, 
1, 5, ClimateRegion3, 0, 1, 5.6, 23.5, 31.58, 17.59, -13.99, 0.04, 0, 
1, 6, ClimateRegion3, 0, 1, 13.3, 26.7, 40.89, 21.38, -19.51, 0.07, 0.01, 
2, 7, ClimateRegion3, 0, 1, 13.1, 27.6, 45.07, 22.38, -22.7, 0.07, 0.01, 
2, 8, ClimateRegion3, 0, 1, 15, 27.5, 47.17, 22.15, -25.02, 0.08, 0.01, 
2, 9, ClimateRegion3, 0, 1, 10, 25, 45.34, 19.1, -26.24, 0.06, 0, 
2, 10, ClimateRegion3, 0, 1, 5.7, 19.9, 43.05, 14.07, -28.98, 0.04, 0, 
2, 11, ClimateRegion3, 0, 1, 9.5, 14.6, 34.14, 9.99, -24.16, 0.06, 0, 
2, 12, ClimateRegion3, 0, 1, 10.9, 11.3, 30.18, 7.47, -22.72, 0.06, 0.01, 
2, 1, ClimateRegion3, 0, 1, 8.8, 9.9, 20.25, 6.63, -13.62, 0.05, 0.01, 
2, 2, ClimateRegion3, 0, 1, 12.1, 11.4, 27.32, 7.67, -19.66, 0.07, 0.01, 
2, 3, ClimateRegion3, 0, 1, 13.7, 15.5, 25.65, 11.42, -14.23, 0.07, 0.01, 
2, 4, ClimateRegion3, 0, 1, 10.9, 19.2, 32.85, 15.13, -17.72, 0.06, 0.01, 
2, 5, ClimateRegion3, 0, 1, 5.6, 23.5, 34.05, 19.74, -14.3, 0.04, 0, 
2, 6, ClimateRegion3, 0, 1, 13.3, 26.7, 43.85, 24.05, -19.8, 0.07, 0.01, 
3, 7, ClimateRegion3, 0, 1, 13.1, 27.6, 47.98, 25.15, -22.83, 0.07, 0.01, 
3, 8, ClimateRegion3, 0, 1, 15, 27.5, 50.79, 24.83, -25.95, 0.08, 0.02, 
3, 9, ClimateRegion3, 0, 1, 10, 25, 49.17, 21.4, -27.78, 0.06, 0, 
3, 10, ClimateRegion3, 0, 1, 5.7, 19.9, 47.47, 15.73, -31.74, 0.04, 0, 
3, 11, ClimateRegion3, 0, 1, 9.5, 14.6, 36.82, 11.22, -25.61, 0.06, 0, 
3, 12, ClimateRegion3, 0, 1, 10.9, 11.3, 33.12, 8.46, -24.66, 0.06, 0.01, 
3, 1, ClimateRegion3, 0, 1, 8.8, 9.9, 22.15, 7.57, -14.58, 0.05, 0.01, 
3, 2, ClimateRegion3, 0, 1, 12.1, 11.4, 30.32, 8.76, -21.56, 0.07, 0.01, 
3, 3, ClimateRegion3, 0, 1, 13.7, 15.5, 28.09, 12.97, -15.12, 0.07, 0.01, 
3, 4, ClimateRegion3, 0, 1, 10.9, 19.2, 36.54, 17.16, -19.38, 0.06, 0.01, 
3, 5, ClimateRegion3, 0, 1, 5.6, 23.5, 37.48, 22.38, -15.1, 0.04, 0, 
3, 6, ClimateRegion3, 0, 1, 13.3, 26.7, 47.88, 27.18, -20.69, 0.07, 0.01, 
4, 7, ClimateRegion3, 0, 1, 13.1, 27.6, 52.36, 28.28, -24.08, 0.07, 0.01, 
4, 8, ClimateRegion3, 0, 1, 15, 27.5, 55.33, 27.79, -27.54, 0.08, 0.02, 
4, 9, ClimateRegion3, 0, 1, 10, 25, 53.7, 23.85, -29.85, 0.06, 0, 
4, 10, ClimateRegion3, 0, 1, 5.7, 19.9, 52.18, 17.48, -34.7, 0.04, 0, 
4, 11, ClimateRegion3, 0, 1, 9.5, 14.6, 39.81, 12.47, -27.34, 0.06, 0, 
4, 12, ClimateRegion3, 0, 1, 10.9, 11.3, 36.03, 9.46, -26.56, 0.06, 0.01, 
4, 1, ClimateRegion3, 0, 1, 8.8, 9.9, 24.09, 8.5, -15.59, 0.05, 0.01, 
4, 2, ClimateRegion3, 0, 1, 12.1, 11.4, 33.29, 9.83, -23.46, 0.07, 0.01, 
4, 3, ClimateRegion3, 0, 1, 13.7, 15.5, 30.52, 14.46, -16.06, 0.07, 0.01, 
4, 4, ClimateRegion3, 0, 1, 10.9, 19.2, 40.03, 19.08, -20.95, 0.06, 0.01, 
4, 5, ClimateRegion3, 0, 1, 5.6, 23.5, 40.79, 24.84, -15.95, 0.04, 0, 
4, 6, ClimateRegion3, 0, 1, 13.3, 26.7, 51.74, 30.08, -21.66, 0.07, 0.01, 
5, 7, ClimateRegion3, 0, 1, 13.1, 27.6, 56.5, 31.17, -25.33, 0.07, 0.01, 
5, 8, ClimateRegion3, 0, 1, 15, 27.5, 59.53, 30.5, -29.03, 0.08, 0.02, 
5, 9, ClimateRegion3, 0, 1, 10, 25, 57.82, 26.07, -31.74, 0.06, 0, 
5, 10, ClimateRegion3, 0, 1, 5.7, 19.9, 56.39, 19.05, -37.34, 0.04, 0, 
5, 11, ClimateRegion3, 0, 1, 9.5, 14.6, 42.47, 13.6, -28.87, 0.06, 0, 
5, 12, ClimateRegion3, 0, 1, 10.9, 11.3, 38.56, 10.36, -28.2, 0.06, 0.01, 
5, 1, ClimateRegion3, 0, 1, 8.8, 9.9, 26.06, 9.33, -16.73, 0.05, 0.01, 
5, 2, ClimateRegion3, 0, 1, 12.1, 11.4, 35.71, 10.76, -24.94, 0.07, 0.01, 
5, 3, ClimateRegion3, 0, 1, 13.7, 15.5, 32.7, 15.77, -16.93, 0.07, 0.02, 
5, 4, ClimateRegion3, 0, 1, 10.9, 19.2, 43.1, 20.76, -22.34, 0.06, 0.01, 
5, 5, ClimateRegion3, 0, 1, 5.6, 23.5, 43.65, 26.98, -16.67, 0.04, 0, 
5, 6, ClimateRegion3, 0, 1, 13.3, 26.7, 55.06, 32.6, -22.46, 0.07, 0.02, 
6, 7, ClimateRegion3, 0, 1, 13.1, 27.6, 60.03, 33.67, -26.36, 0.07, 0.01, 
6, 8, ClimateRegion3, 0, 1, 15, 27.5, 63.07, 32.83, -30.24, 0.08, 0.02, 
6, 9, ClimateRegion3, 0, 1, 10, 25, 61.27, 27.99, -33.29, 0.06, 0, 
6, 10, ClimateRegion3, 0, 1, 5.7, 19.9, 59.94, 20.4, -39.54, 0.04, 0, 
6, 11, ClimateRegion3, 0, 1, 9.5, 14.6, 44.65, 14.56, -30.09, 0.06, 0, 
6, 12, ClimateRegion3, 0, 1, 10.9, 11.3, 40.77, 11.12, -29.66, 0.06, 0.01, 
