species,wsg,b0,b1,fraction_stem,fraction_branch,fraction_leaf,fraction_root,fraction_soil
ACPE,0.44,-2.047,2.3852,0.7,0.23,0.07,0.24,0.68
ACRU,0.49,-2.047,2.3852,0.7,0.23,0.07,0.24,0.68
BEAL,0.55,-1.8096,2.348,0.7,0.23,0.07,0.24,0.68
BELE,0.6,-1.8096,2.348,0.7,0.23,0.07,0.24,0.68
BEPO,0.48,-2.2271,2.4513,0.7,0.23,0.07,0.24,0.68
FAGR,0.56,-2.0705,2.441,0.7,0.23,0.07,0.24,0.68
FRAM,0.55,-1.8384,2.3524,0.7,0.23,0.07,0.24,0.68
PIGL,0.36,-2.1364,2.3233,0.7,0.23,0.07,0.24,0.68
PIRE,0.41,-2.6177,2.4638,0.7,0.23,0.07,0.24,0.68
PIST,0.34,-2.6177,2.4638,0.7,0.23,0.07,0.24,0.68
PRSE,0.47,-2.2118,2.4133,0.7,0.23,0.07,0.24,0.68
QURU,0.56,-2.0705,2.441,0.7,0.23,0.07,0.24,0.68
QUVE,0.56,-2.0705,2.441,0.7,0.23,0.07,0.24,0.68
TSCA,0.38,-2.348,2.3876,0.7,0.23,0.07,0.24,0.68
