species,type,h_coeff,cr1,cr2,cd
ACRU,adult,0.063,0.108,1,0.49
ACSA,adult,0.06233,0.107,1,0.58
BEAL,adult,0.063,0.109,1,0.54
BELE,adult,0.02433334,0.109,1,0.54
BEPA,adult,0.063,0.109,1,0.54
FAGR,adult,0.035333,0.152,1,0.664
FRAM,adult,0.05599999,0.095,1,0.319
PIAB,adult,0.0243334,0.1,1,0.846
PIRE,adult,0.0333,0.087,1,0.413
PIST,adult,0.03333,0.087,1,0.413
PRSE,adult,0.045,0.116,1,0.37
QURU,adult,0.042,0.119,1,0.413
TSCA,adult,0.02433334,0.1,1,0.846
ACRU,sapling,0.063,0.108,1,0.49
ACSA,sapling,0.062333,0.107,1,0.58
BEAL,sapling,0.063,0.109,1,0.54
BELE,sapling,0.02433334,0.109,1,0.54
BEPA,sapling,0.063,0.109,1,0.54
FAGR,sapling,0.035333,0.152,1,0.664
FRAM,sapling,0.05599999,0.095,1,0.319
PIAB,sapling,0.0243334,0.1,1,0.846
PIRE,sapling,0.0333,0.087,1,0.413
PIST,sapling,0.03333,0.087,1,0.413
PRSE,sapling,0.045,0.116,1,0.37
QURU,sapling,0.042,0.119,1,0.413
TSCA,sapling,0.02433334,0.1,1,0.846
