species,type,mean,sd
ACRU,adult,0.4123658,1.64E-05
ACSA,adult,0.3019977,0.008271048
BEAL,adult,0.1851545,0.002670746
BELE,adult,0.1835995,0.001950703
BEPA,adult,0.146096,0.002808374
FAGR,adult,0.1811589,0.005441895
FRAM,adult,0.5006567,1.99E-05
PIAB,adult,0.2896274,0.002705528
PIRE,adult,0.6435868,0.004626895
PIST,adult,0.6448418,0.004638225
PRSE,adult,0.002362,0.007217
QURU,adult,0.2815176,0.005012701
TSCA,adult,0.424856,1.17E-05
ACRU,sapling,0.177431,0.019969248
ACSA,sapling,0.6039955,0.008271048
BEAL,sapling,0.7254108,0.027817619
BELE,sapling,0.3811857,0.020727579
BEPA,sapling,0.2114817,0.020289557
FAGR,sapling,0.1715329,0.01531593
FRAM,sapling,0.272575,0.033999189
PIAB,sapling,0.3064064,0.028384663
PIRE,sapling,0.47856,0.036367577
PIST,sapling,0.3748683,0.036590627
PRSE,sapling,0.096696,0.009557
QURU,sapling,0.2348018,0.031708322
TSCA,sapling,0.2232403,0.028164099
