"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
1,"BEAL","adult",NA,13.1,NA,NA,NA,NA,NA
2,"ACRU","adult",NA,32.4,NA,NA,NA,NA,NA
5,"ACRU","adult",NA,38.2,NA,NA,NA,NA,NA
6,"ACRU","adult",NA,33.1,NA,NA,NA,NA,NA
7,"ACRU","adult",NA,11.3,NA,NA,NA,NA,NA
8,"BEAL","adult",NA,23.2,NA,NA,NA,NA,NA
9,"BEAL","adult",NA,15.6,NA,NA,NA,NA,NA
10,"BEAL","adult",NA,12.4,NA,NA,NA,NA,NA
11,"ACRU","adult",NA,18.3,NA,NA,NA,NA,NA
12,"ACRU","adult",NA,16.2,NA,NA,NA,NA,NA
13,"ACRU","adult",NA,22.7,NA,NA,NA,NA,NA
14,"QURU","adult",NA,55.8,NA,NA,NA,NA,NA
15,"ACRU","adult",NA,22.1,NA,NA,NA,NA,NA
16,"ACRU","adult",NA,9.9,NA,NA,NA,NA,NA
17,"ACRU","adult",NA,18.6,NA,NA,NA,NA,NA
18,"ACRU","adult",NA,26,NA,NA,NA,NA,NA
19,"QURU","adult",NA,47.7,NA,NA,NA,NA,NA
25,"ACRU","adult",NA,14.1,NA,NA,NA,NA,NA
26,"QUVE","adult",NA,39.9,NA,NA,NA,NA,NA
27,"ACRU","adult",NA,10.6,NA,NA,NA,NA,NA
29,"ACRU","adult",NA,15.5,NA,NA,NA,NA,NA
30,"ACRU","adult",NA,22.5,NA,NA,NA,NA,NA
31,"QUVE","adult",NA,39.3,NA,NA,NA,NA,NA
32,"QURU","adult",NA,41.1,NA,NA,NA,NA,NA
33,"QUVE","adult",NA,30.9,NA,NA,NA,NA,NA
34,"QURU","adult",NA,40.2,NA,NA,NA,NA,NA
35,"ACRU","adult",NA,21.9,NA,NA,NA,NA,NA
51,"QURU","adult",NA,21.3,NA,NA,NA,NA,NA
52,"FAGR","adult",NA,13.3,NA,NA,NA,NA,NA
53,"ACRU","adult",NA,11.5,NA,NA,NA,NA,NA
54,"QURU","adult",NA,33.4,NA,NA,NA,NA,NA
55,"ACRU","adult",NA,16.5,NA,NA,NA,NA,NA
56,"ACRU","adult",NA,11.2,NA,NA,NA,NA,NA
57,"QURU","adult",NA,55,NA,NA,NA,NA,NA
58,"QURU","adult",NA,38.7,NA,NA,NA,NA,NA
59,"BEAL","adult",NA,11.6,NA,NA,NA,NA,NA
60,"ACRU","adult",NA,20.6,NA,NA,NA,NA,NA
61,"QURU","adult",NA,45.7,NA,NA,NA,NA,NA
62,"QUVE","adult",NA,27.9,NA,NA,NA,NA,NA
64,"BEAL","adult",NA,13.9,NA,NA,NA,NA,NA
65,"BEAL","adult",NA,14.7,NA,NA,NA,NA,NA
66,"ACRU","adult",NA,24.2,NA,NA,NA,NA,NA
67,"ACRU","adult",NA,12,NA,NA,NA,NA,NA
69,"ACRU","adult",NA,13.2,NA,NA,NA,NA,NA
70,"QURU","adult",NA,42.1,NA,NA,NA,NA,NA
152,"ACRU","adult",NA,15.1,NA,NA,NA,NA,NA
153,"QURU","adult",NA,47.9,NA,NA,NA,NA,NA
154,"ACRU","adult",NA,26,NA,NA,NA,NA,NA
155,"QURU","adult",NA,47.7,NA,NA,NA,NA,NA
156,"ACRU","adult",NA,33.4,NA,NA,NA,NA,NA
157,"ACRU","adult",NA,19,NA,NA,NA,NA,NA
158,"ACRU","adult",NA,14.8,NA,NA,NA,NA,NA
159,"ACRU","adult",NA,28.2,NA,NA,NA,NA,NA
160,"ACRU","adult",NA,34.7,NA,NA,NA,NA,NA
161,"ACRU","adult",NA,18.4,NA,NA,NA,NA,NA
162,"ACRU","adult",NA,31.5,NA,NA,NA,NA,NA
163,"ACRU","adult",NA,13.1,NA,NA,NA,NA,NA
164,"PIST","adult",NA,17.8,NA,NA,NA,NA,NA
165,"QURU","adult",NA,42.4,NA,NA,NA,NA,NA
176,"QUVE","adult",NA,14.9,NA,NA,NA,NA,NA
177,"BEAL","adult",NA,16.4,NA,NA,NA,NA,NA
178,"BEAL","adult",NA,15.7,NA,NA,NA,NA,NA
179,"QURU","adult",NA,61.8,NA,NA,NA,NA,NA
180,"ACRU","adult",NA,24.3,NA,NA,NA,NA,NA
182,"BEAL","adult",NA,30.2,NA,NA,NA,NA,NA
184,"ACRU","adult",NA,9.5,NA,NA,NA,NA,NA
185,"ACRU","adult",NA,13.8,NA,NA,NA,NA,NA
187,"ACRU","adult",NA,28.1,NA,NA,NA,NA,NA
