"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
1,"BEAL","adult",NA,13.3647058823529,NA,NA,NA,NA,NA
2,"ACRU","adult",NA,15.0764705882353,NA,NA,NA,NA,NA
3,"ACRU","adult",NA,32.4,NA,NA,NA,NA,NA
4,"TSCA","adult",NA,17.6823529411765,NA,NA,NA,NA,NA
5,"PIST","adult",NA,30.4823529411765,NA,NA,NA,NA,NA
6,"TSCA","adult",NA,12.5411764705882,NA,NA,NA,NA,NA
7,"BEAL","adult",NA,15.7588235294118,NA,NA,NA,NA,NA
8,"ACRU","adult",NA,33.1,NA,NA,NA,NA,NA
9,"ACRU","adult",NA,19.5058823529412,NA,NA,NA,NA,NA
10,"ACRU","adult",NA,11.3,NA,NA,NA,NA,NA
11,"TSCA","adult",NA,17.3705882352941,NA,NA,NA,NA,NA
12,"BEAL","adult",NA,23.2647058823529,NA,NA,NA,NA,NA
13,"QURU","adult",NA,56.1352941176471,NA,NA,NA,NA,NA
14,"BEAL","adult",NA,15.6,NA,NA,NA,NA,NA
15,"ACRU","adult",NA,25.0058823529412,NA,NA,NA,NA,NA
16,"BEAL","adult",NA,12.4529411764706,NA,NA,NA,NA,NA
17,"BEAL","adult",NA,19.1235294117647,NA,NA,NA,NA,NA
18,"ACRU","adult",NA,18.4352941176471,NA,NA,NA,NA,NA
19,"PIST","adult",NA,21.8,NA,NA,NA,NA,NA
20,"ACRU","adult",NA,16.2,NA,NA,NA,NA,NA
21,"TSCA","adult",NA,22.4058823529412,NA,NA,NA,NA,NA
22,"QURU","adult",NA,55.9705882352941,NA,NA,NA,NA,NA
23,"ACRU","adult",NA,22.1,NA,NA,NA,NA,NA
24,"ACRU","adult",NA,9.9,NA,NA,NA,NA,NA
25,"ACRU","adult",NA,18.5764705882353,NA,NA,NA,NA,NA
26,"ACRU","adult",NA,26.1,NA,NA,NA,NA,NA
27,"QURU","adult",NA,47.7764705882353,NA,NA,NA,NA,NA
28,"ACRU","adult",NA,14.1,NA,NA,NA,NA,NA
29,"QUVE","adult",NA,40.0294117647059,NA,NA,NA,NA,NA
30,"ACRU","adult",NA,10.6705882352941,NA,NA,NA,NA,NA
31,"ACRU","adult",NA,15.1,NA,NA,NA,NA,NA
32,"ACRU","adult",NA,15.6294117647059,NA,NA,NA,NA,NA
33,"QURU","adult",NA,35,NA,NA,NA,NA,NA
34,"ACRU","adult",NA,22.5647058823529,NA,NA,NA,NA,NA
35,"QUVE","adult",NA,39.3941176470588,NA,NA,NA,NA,NA
36,"QURU","adult",NA,41.1764705882353,NA,NA,NA,NA,NA
37,"QUVE","adult",NA,30.9823529411765,NA,NA,NA,NA,NA
38,"QURU","adult",NA,40.2705882352941,NA,NA,NA,NA,NA
39,"ACRU","adult",NA,21.9,NA,NA,NA,NA,NA
40,"QURU","adult",NA,30.1176470588235,NA,NA,NA,NA,NA
41,"QURU","adult",NA,32.6058823529412,NA,NA,NA,NA,NA
42,"PIGL","adult",NA,15.2,NA,NA,NA,NA,NA
43,"ACRU","adult",NA,14.5647058823529,NA,NA,NA,NA,NA
44,"ACRU","adult",NA,21.7705882352941,NA,NA,NA,NA,NA
45,"ACRU","adult",NA,12.7294117647059,NA,NA,NA,NA,NA
46,"ACRU","adult",NA,13.7352941176471,NA,NA,NA,NA,NA
47,"QURU","adult",NA,19.8,NA,NA,NA,NA,NA
48,"PIGL","adult",NA,13.9,NA,NA,NA,NA,NA
