"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
2227,"PIPA","adult",NA,37.35,NA,NA,NA,NA,1095.648109
2228,"PIPA","adult",NA,31.8,NA,NA,NA,NA,794.2260388
2229,"PIPA","adult",NA,28.1,NA,NA,NA,NA,620.1582438
2230,"PIPA","adult",NA,19.55,NA,NA,NA,NA,300.1811415
2231,"PIPA","adult",NA,28.65,NA,NA,NA,NA,644.672484
2232,"PIPA","adult",NA,12.85,NA,NA,NA,NA,129.6869082
2233,"PIPA","adult",NA,21.9,NA,NA,NA,NA,376.6848131
2234,"PIPA","adult",NA,16.75,NA,NA,NA,NA,220.3532722
2235,"PIPA","adult",NA,32.3,NA,NA,NA,NA,819.3980499
2236,"PIPA","adult",NA,15.85,NA,NA,NA,NA,197.3096901
2237,"PIPA","adult",NA,25.85,NA,NA,NA,NA,524.8207242
2238,"PIPA","adult",NA,23.5,NA,NA,NA,NA,433.7361357
2239,"PIPA","adult",NA,18.4,NA,NA,NA,NA,265.9044022
2240,"PIPA","adult",NA,26.2,NA,NA,NA,NA,539.1287153
2241,"PIPA","adult",NA,15.25,NA,NA,NA,NA,182.6541604
2242,"PIPA","adult",NA,12.15,NA,NA,NA,NA,115.9424404
2243,"PIPA","adult",NA,10.95,NA,NA,NA,NA,94.17120329
2244,"PIPA","adult",NA,10.7,NA,NA,NA,NA,89.92023573
2245,"PIPA","adult",NA,19.2,NA,NA,NA,NA,289.529179
2249,"PIPA","adult",NA,10.75,NA,NA,NA,NA,90.76257526
2250,"PIPA","adult",NA,24.5,NA,NA,NA,NA,471.4352476
2251,"PIPA","adult",NA,14.25,NA,NA,NA,NA,159.4849146
2252,"PIPA","adult",NA,29.75,NA,NA,NA,NA,695.126462
2256,"PIPA","adult",NA,16.65,NA,NA,NA,NA,217.7300424
2257,"PIPA","adult",NA,41.95,NA,NA,NA,NA,1382.145651
2259,"PIPA","adult",NA,42.5,NA,NA,NA,NA,1418.625433
